"title","status","description","streetaddress","notes","city","state","amenityfeatures","type","Year","unclear_address","full.address","lon","lat","geoAddress"
"Windjammer","Found","Marriott Hotel","Cain & Courtland","Roads have changed a bit here and been renamed due to redevelopment in the area. See intersection of Cain and Courtland on this David Rumsey Map: https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~212209~5500288:Atlanta--Georgia--;JSESSIONID=a2b23f1f-f52c-49f9-9868-055239e75dc7?showTipAdvancedSearch=false&showShareIIIFLink=true&showTip=false&helpUrl=https%3A%2F%2Fdoc.lunaimaging.com%2Fdisplay%2FV74D%2FLUNA%2BViewer%23LUNAViewer-LUNAViewer&title=Search+Results%3A+List_No+equal+to+%275840.111%27&fullTextSearchChecked=&dateRangeSearchChecked=&advancedSearchUrl=https%3A%2F%2Fdoc.lunaimaging.com%2Fdisplay%2FV74D%2FSearching%23Searching-Searching&thumbnailViewUrlKey=link.view.search.url","Atlanta","GA","(M),(PE)","Hotels,Bars/Clubs",1976,NA,NA,NA,NA,NA
"El Matador","Found","Ansley Mall Shopping Center ","Piedmont at Monroe St.","","Atlanta","GA","(OC)","Bars/Clubs",1976,NA,NA,NA,NA,NA
"Cameo","Found","","188 Williams at Cain","","Atlanta","GA","(RT),(B),(*)","Bars/Clubs",1976,NA,NA,NA,NA,NA
"Atlanta International Airport - Observation Deck","Found","","","General airport coordinates used.","Atlanta","GA","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Denny's","Found","","Piedmont Circle at CHeshire Bridge Rd","","Atlanta","GA","(M),(R),(C),(AH)","Restaurant",1976,NA,NA,NA,NA,NA
"Library - Peachtree and Carnegie","Found","","","","Atlanta","GA","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Cypress St. - an alley between 'the strip' - Peachtree and W. Peachtree from 5th to 10th","Found","","","","Atlanta","GA","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"T-Room, Davison's Dept Store","General City Coordinates Used","","","","Atlanta","GA","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"'The Strip' - Peachtree & W. Peachtree Sts from 5th to 10th","Found","","","","Atlanta","GA","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Atlanta International Airport – Observation Deck ","Found","","","General airport coordinates used.","Atlanta","GA","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"T-Rooms at Davison’s Department Store ","General City Coordinates Used","","","","Atlanta","GA","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"“Flea Market” ","General City Coordinates Used","","","","Atlanta","GA","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"“The Strip” – Peachtree & W. Peachtree Streets from 5th to 10th Streets","Found","","","","Atlanta","GA","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Phillips 66 Truck Stop about 9 miles north on I-95 near Norcross","General City Coordinates Used","(T-Rooms) ","","","Atlanta","GA","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Cameo ","Found","(Some SM, B) ","188 Williams at Cain ","","Atlanta","GA","(RT),(*)","Bars/Clubs",1977,NA,NA,NA,NA,NA
"Library – Peachtree & Carnegie ","Found","","","","Atlanta","GA","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Windhammer ","Found","Marriot Hotel ","Cain & Courtland ","Roads have changed a bit here and been renamed due to redevelopment in the area. See intersection of Cain and Courtland on this David Rumsey Map: https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~212209~5500288:Atlanta--Georgia--;JSESSIONID=a2b23f1f-f52c-49f9-9868-055239e75dc7?showTipAdvancedSearch=false&showShareIIIFLink=true&showTip=false&helpUrl=https%3A%2F%2Fdoc.lunaimaging.com%2Fdisplay%2FV74D%2FLUNA%2BViewer%23LUNAViewer-LUNAViewer&title=Search+Results%3A+List_No+equal+to+%275840.111%27&fullTextSearchChecked=&dateRangeSearchChecked=&advancedSearchUrl=https%3A%2F%2Fdoc.lunaimaging.com%2Fdisplay%2FV74D%2FSearching%23Searching-Searching&thumbnailViewUrlKey=link.view.search.url","Atlanta","GA","(M),(PE)","Hotels,Bars/Clubs",1977,NA,NA,NA,NA,NA
"EL Matador ","Found","Ansley Mall Shopping Center (Sunday buffet) ","Piedmont & Monroe Dr. ","","Atlanta","GA","(OC)","Bars/Clubs",1977,NA,NA,NA,NA,NA
"Cypress Street – an alley between “the Strip” – Peachtree & W. Peachtree from 5th to 10th Street ","Found","","","","Atlanta","GA","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Grant Park-nr. Lookout Tower ","Found","(“chicken”)","","","Atlanta","GA","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Back Street ","Found","(Disco) (Enter through rear of 845 Peachtree St. N.E.) ","6th & Juniper Streets","","Atlanta","GA","(YC),(D),(*)","Bars/Clubs",1977,NA,NA,NA,NA,NA
"Merchandise Mart ","General City Coordinates Used","","","","Atlanta","GA","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Armory ","Found","(Good cocktail hours) ","834 Juniper N.E. near 6th ","","Atlanta","GA","(*)","Bars/Clubs",1977,NA,NA,NA,NA,NA
"Spotts Hall – University of Georgia – 3rd & 4th floors","General City Coordinates Used","","","","Atlanta","GA","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Piedmont Park – parking lot & “nature trails”","Found","","","","Atlanta","GA","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Denny’ s","Found","","Piedmont Circle at Cheshire Bridge Road ","","Atlanta","GA","(M),(R),(C),(AH)","Restaurant",1977,NA,NA,NA,NA,NA
"Windjammer","Found","","Mariott Hotel Cain & Courtland","","Atlanta","GA","(M),(PE)","Hotels,Bars/Clubs",1975,NA,NA,NA,NA,NA
"M.C.C.","Found","Decatur","527 N. McDonough St.","","Atlanta","GA","","Church",1975,NA,NA,NA,NA,NA
"Cypress St.","Found","","an alley between Peachtree & W. Peachtree from 5th to 9th Sts.","","Atlanta","GA","Cruisy Area","",1975,NA,NA,NA,NA,NA
"El Matador","Found","","Ansley Mall Shopping Center Piedmont at Monroe","","Atlanta","GA","(*)","",1975,NA,NA,NA,NA,NA
"Library","Found","","Peachtree & Carnegie","","Atlanta","GA","Cruisy Area","",1975,NA,NA,NA,NA,NA
"Piedmont Park","Found","","parking lot & 'nature trails'","","Atlanta","GA","Cruisy Area","",1975,NA,NA,NA,NA,NA
"Mama Mia's","Found","","Peachtree at 10th N.E.","","Atlanta","GA","(S)","",1975,NA,NA,NA,NA,NA
"Grey Castle","General City Coordinates Used","yet another 'super bar' scheduled to open in near future","","","Atlanta","GA","","Bars/Clubs",1975,NA,NA,NA,NA,NA
"Armory ","Found","(Best during cocktail hours on Mon. & Thur.) ","824 Juniper N.E. nr. 6th  ","","Atlanta","GA","","Bars/Clubs",1978,NA,NA,NA,NA,NA
"Ga. Tech – Administration Bldg. T-Room ","Found","","","","Atlanta","GA","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Cypress Street – an allet betw. ‘The Strip’ – Peachtree & W. Peachtree from 5th to 10th Sts. ","Found","","","","Atlanta","GA","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Atlanta International Airport – Observation Deck ","Found","","","","Atlanta","GA","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"El Matador","Found","(Sat. buffet) Ansley Mall Shopping ","Piedmont & Monroe Dr. ","","Atlanta","GA","","Bars/Clubs",1978,NA,NA,NA,NA,NA
"‘The Strip’ – Peachtree & W. Peachtree Sts. from 5th to 10th Sts. ","Found","","","","Atlanta","GA","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Grant Park nr. Lookout Tower","Found","(‘Chicken’) ","","","Atlanta","GA","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Phillips 66 Truck Stop 9 mi. No. on I-95 nr. Norcross","General City Coordinates Used","","","","Atlanta","GA","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"‘Flea Market’ ","General City Coordinates Used","","","","Atlanta","GA","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Denny's ","Found","","Piedmont Circle at Cheshire Bridge Rd. ","","Atlanta","GA","(M),(R),(C),(AH)","Restaurant",1978,NA,NA,NA,NA,NA
"Down Under Book Store ","Found","(Open 24 hrs.) ","45 8th St at Cypress ","","Atlanta","GA","(*)","Book Store",1978,NA,NA,NA,NA,NA
"Cameo ","Found","","188 Williams at Cain N.W.","","Atlanta","GA","(M),(B),(RT)","Bars/Clubs",1978,NA,NA,NA,NA,NA
"Merchandise Mart – Mezzanine T-Room ","General City Coordinates Used","","","","Atlanta","GA","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Piedmont Park – parking lot & Nature Trails ","Found","","","","Atlanta","GA","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"
  Locker Room Health
  Club 
  ","Found","(Includes baths & sauna adjoining ‘Hollywood Hots’ (Disco) (D) (S) (‘Flicks’) & bookstore – BYOB for AH – Open 24 hrs.)   ","2325 Cheshire Bridge Rd. N.E. at Cheshire Square Shopping Center  ","","Atlanta","GA","(*),(D),(S)","Book Store,Theatre,Baths",1978,NA,NA,NA,NA,NA
"Library – Peachtree & Carnagie ","Found","","","","Atlanta","GA","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Man's World Atlanta ","General City Coordinates Used","(May be opening in Spring of ’77) ","","","Atlanta","GA","","Bars/Clubs",1978,NA,NA,NA,NA,NA
"Sparks Hall at Davison’s Dept. Store ","Found","","","","Atlanta","GA","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Sparks Hall","Found","3rd & 4th floor T-rooms - Ga. St. U.","","","Atlanta","GA","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Models Atlanta","General City Coordinates Used","(404) 231-0241","","","Atlanta","GA","","Business",1980,NA,NA,NA,NA,NA
"Grant Park nr. Lookout Tower","Found","'chicken'","","","Atlanta","GA","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Cypress St.","Found","('The Strip') an alley between Peachtree & W. Peachtree from 6th to 8th St.s","","","Atlanta","GA","Cruisy Area,(*)","Cruising Areas",1980,NA,NA,NA,NA,NA
"El Matador","Found","(Sat. buffet) Ansley Mall Shopping Center","Piedmont & Monroe Dr.","","Atlanta","GA","(*)","",1980,NA,NA,NA,NA,NA
"T-Rooms at Davison's Dept. Store","General City Coordinates Used","","","","Atlanta","GA","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Ga. Tech - Admin. Bldg. T-room","Found","","","","Atlanta","GA","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Piedmont Park","Found","parking lot & nature trails","","","Atlanta","GA","Cruisy Area,(AYOR)","Cruising Areas",1980,NA,NA,NA,NA,NA
"Youngsman Atlanta","General City Coordinates Used","(Models, etc.) (404) 325-1495","","","Atlanta","GA","","Business",1980,NA,NA,NA,NA,NA
"Atlanta Airport","Found","observation deck","","","Atlanta","GA","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Fleat Market","General City Coordinates Used","","","","Atlanta","GA","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Play Pen","Found","(downtown - Inquire locally) ","","Coordinates for middle of 600 block of Ellis. ","Augusta","GA","(*)","Bars/Clubs",1971,NA,NA,NA,NA,NA
"Play Pen","Found","","In alley off 600 block of Ellis St.","Coordinates for middle of 600 block of Ellis. ","Augusta","GA","(*)","Bars/Clubs",1972,NA,NA,NA,NA,NA
"
  Play Pen 
  ","Found","","In alley – off 600 blk. of Ellis St.","Coordinates for middle of 600 block of Ellis. ","Augusta","GA","(*)","Bars/Clubs",1973,NA,NA,NA,NA,NA
"Lolly Pop Lounge ","Found","(was closed – may be reopening at 594 Damascus Rd. or elsewhere) ","","","Augusta","GA","(P),(YC),(D),(S)","Bars/Clubs",1978,NA,NA,NA,NA,NA
"Holiday Inn Bar","Found","","","","Columbus","MS","(M)","Hotels,Bars/Clubs",1974,NA,NA,NA,NA,NA
"Southernaire Night Club","General City Coordinates Used","","","","Columbus","MS","(M),(RT)","Bars/Clubs",1974,NA,NA,NA,NA,NA
"Columbus Room","General City Coordinates Used","Columbus Hotel","","","Columbus","GA","","Hotels,Bars/Clubs",1971,NA,NA,NA,NA,NA
"Fiesta Lounge","General City Coordinates Used","","","","Columbus","GA","(*)","Bars/Clubs",1969,NA,NA,NA,NA,NA
"Peacock Lounge ","Found","","US Hwy. 45 at 5th St. N.  ","","Columbus","MS","(M)","Bars/Clubs,Hotels",1979,NA,NA,NA,NA,NA
"Southernaire Night Club","General City Coordinates Used","","W. on Hwy. 82 ","","Columbus","MS","(M)","Bars/Clubs",1972,NA,NA,NA,NA,NA
"Ralston Hotel Bar","Found","","12th St. bet. 2nd & 3rd Aves.","Coordinates for the middle of this block","Columbus","GA","(M)","Hotels,Bars/Clubs",1972,NA,NA,NA,NA,NA
"Holiday Inn Bar","Found","","U.S. Hwy. 45 N. at 5th St. N. ","","Columbus","MS","(M)","Hotels,Bars/Clubs",1972,NA,NA,NA,NA,NA
"
  Ralston Hotel
  ","Found","","","Coordinates for the middle of this block","Columbus","GA","(M)","Hotels,Bars/Clubs",1973,NA,NA,NA,NA,NA
"Southernaire Night Club","General City Coordinates Used","","W. on Hwy. 82","","Columbus","MS","(M),(RT)","Bars/Clubs",1973,NA,NA,NA,NA,NA
"Holiday Inn Bar","Found","","U.S. Hwy. 45 at 5th St. N.","","Columbus","MS","(M)","Bars/Clubs,Hotels",1973,NA,NA,NA,NA,NA
"Fiesta Lounge","General City Coordinates Used","","1st Ave.","","Columbus","GA","(*)","Bars/Clubs",1970,NA,NA,NA,NA,NA
"Ralston Hotel Bar","Found","","12th St. between 2nd & 3rd Aves.","Coordinates for the middle of this block","Columbus","GA","(M)","Bars/Clubs,Hotels",1976,NA,NA,NA,NA,NA
"Holiday Inn Bar","Found","","U.S. Hwy 45 at 5th St. N.","","Columbus","MS","(M)","Bars/Clubs,Hotels",1976,NA,NA,NA,NA,NA
"Ralston Hotel Bar","Found","","12th Street between 2nd & 3rd Avenues ","Coordinates for the middle of this block","Columbus","GA","(M),(OC)","Hotels,Bars/Clubs",1977,NA,NA,NA,NA,NA
"Holiday Inn Bar","Found","","U.S. Hwy. 45 at 5th St. N.","","Columbus","MS","(M)","Hotels,Bars/Clubs",1975,NA,NA,NA,NA,NA
"Ralston Hotel Bar","Found","","12th St. between 2nd & 3rd Avenues","asked about unclarity ","Columbus","GA","(M)","Hotels,Bars/Clubs",1975,NA,NA,NA,NA,NA
"Brer Rabbit’s ","Found","(Disco) ","Peachtree Mall on the North Expressway","","Columbus","GA","(P),(YC),(D),(*)","Bars/Clubs",1978,NA,NA,NA,NA,NA
"Chart Room ","Found","Ralston Hotel ","12th betw. 2nd & 3rd Aves.","","Columbus","GA","(M),(OC)","Hotels,Bars/Clubs",1978,NA,NA,NA,NA,NA
"Peacock Lounge ","Found","Holiday Inn Bar (M) ","U.S. Hwy. 45 at 5th St. No. ","","Columbus","MS","(M)","Bars/Clubs,Hotels",1978,NA,NA,NA,NA,NA
"Fiesta Lounge ","General City Coordinates Used","(Cruisy) ","1st Ave.","","Columbus","GA","(YC),(*)","Cruising Areas,Bars/Clubs",1978,NA,NA,NA,NA,NA
"Trailways Bus Depot","General City Coordinates Used","","","","Columbus","GA","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Peacock Lounge","Found","Holiday Inn","US Hwy. 45 at 5th St. N.","","Columbus","MS","(M)","Bars/Clubs,Hotels",1980,NA,NA,NA,NA,NA
"Mulberry Creek","General City Coordinates Used","(Military)","","Mulberry creek appears to be opposite direction of the military base. Unsure of location so using general Columbus coordinates.","Columbus","GA","Cruisy Area,(M)","Cruising Areas",1980,NA,NA,NA,NA,NA
"4th Avenue, Vicotry Dr.","General City Coordinates Used","4th Avenue, Vicotry Dr. or other streets leading to Ft. Benning","","Coordinates for Fort Benning generally.","Columbus","GA","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Savannah Beach","Found","(summers)","","","Savannah","GA","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Bull Street squares","Found","by foot or car","","","Savannah","GA","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Old Volunteer Guards Hall","Found","","","","Savannah","GA","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Purple Tree","Found","Manager Hotel
","","","Savannah","GA","(M)","Bars/Clubs",1969,NA,NA,NA,NA,NA
"Bull St. Squares – by foot or car","Found","","","","Savannah","GA","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Savannah Beach ","Found","(summers)","","","Savannah","GA","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"
  Basement
  ","Found","(opens 8 p.m. )","340 Bull at Charlton","","Savannah","GA","(D),(*)","Bars/Clubs",1973,NA,NA,NA,NA,NA
"
  Holiday Inn Bar 
  ","General City Coordinates Used","","Hwy. 17-A","","Savannah","GA","(M)","Bars/Clubs,Hotels",1973,NA,NA,NA,NA,NA
"
  Bayshore Steam Baths
  ","Found","(closes 10 p.m.)","403 E. Bay at Habersham","","Savannah","GA","","Baths",1973,NA,NA,NA,NA,NA
"Purple Tree","Found","Manger Hotel","Congress and Bull","","Savannah","GA","(M)","Bars/Clubs",1970,NA,NA,NA,NA,NA
"Savannah Beach (summers)","Found","","","","Savannah","GA","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Old Town Saloon","General City Coordinates Used","(Looks Promising)","On Montgomery - opposite Greyhound Bus Depot","","Savannah","GA","","Bars/Clubs",1976,NA,NA,NA,NA,NA
"Bull St. Squares","Found","","","","Savannah","GA","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Old Volunteer Guards Hall","Found","","","","Savannah","GA","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Basement ","Found","(Some RT, G, B) (Opens 8 p.m.) ","340 Bull at Charlton ","","Savannah","GA","(D),(*)","Bars/Clubs",1977,NA,NA,NA,NA,NA
"Savannah Beach ","Found","(summers) ","","","Savannah","GA","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Old Volunteer Guards Hall ","Found","","","","Savannah","GA","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Bull Street Squares – by foot or auto ","Found","","","","Savannah","GA","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Silver Spur","Found","in basement - may be opening in Spring of '74 ","Congress & Whitaker","","Savannah","GA","","Bars/Clubs",1975,NA,NA,NA,NA,NA
"Savannah Beach","Found","summers","","","Savannah","GA","Cruisy Area","",1975,NA,NA,NA,NA,NA
"Old Volunteer Guards Hall","Found","","","","Savannah","GA","Cruisy Area","",1975,NA,NA,NA,NA,NA
"Bull St. Squares","Found","by foot or car","","","Savannah","GA","Cruisy Area","",1975,NA,NA,NA,NA,NA
"Office Lounge","Found","Drayton Arms","Liberty at Drayton","","Savannah","GA","(M)","",1975,NA,NA,NA,NA,NA
"Bulls Street Squares – by foot or auto  ","Found","","","","Savannah","GA","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Savannah Beach ","Found","(Summers) ","","","Savannah","GA","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Old Volunteer Guards Hall","Found","","","","Savannah","GA","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Basement ","Found","(Disco) (Some G) (Liquor) (Opens 8 p.m.) ","340 Bull at Charlton ","","Savannah","GA","(*),(D),(S)","Bars/Clubs",1978,NA,NA,NA,NA,NA
"Pancake House ","Found","","Broughton & Lincoln ","","Savannah","GA","(M),(R),(C)","Restaurant",1978,NA,NA,NA,NA,NA
"Hilton De Soto Hotel","Found","Lobby & T-Room","","","Savannah","GA","Cruisy Area","Hotels,Cruising Areas",1980,NA,NA,NA,NA,NA
"Bull St. Squares","Found","by foot or car
","","","Savannah","GA","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Topiary Club","General City Coordinates Used","","Hwy. 17 S. ","","Savannah","GA","(L),(D)","Bars/Clubs",1980,NA,NA,NA,NA,NA
"Savannah Beach","Found","(Summers)","","","Savannah","GA","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Pancake House","Found","","Broughton & Lincoln","","Savannah","GA","(M),(R),(C),(AH)","Restaurant",1980,NA,NA,NA,NA,NA
"Den Again","Found","(new tel: 912-9420)","","Location for the center of Woodale Ct.","Baton Rouge","LA","(YC),(D),(*),(G)","Bars/Clubs",1974,NA,NA,NA,NA,NA
"Downtown Bus Terminal","General City Coordinates Used","","","Location for ""Downtown Baton Rouge""","Baton Rouge","LA","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Mirror Room","Found","","","","Baton Rouge","LA","(*)","Bars/Clubs",1969,NA,NA,NA,NA,NA
"Mirror Room","Found","","","","Baton Rouge","LA","","Bars/Clubs",1968,NA,NA,NA,NA,NA
"Mirror Room","Found","","","","Baton Rouge","LA","(*)","Bars/Clubs",1966,NA,NA,NA,NA,NA
"Mirror Room","Found","","","","Baton Rouge","LA","(*)","Bars/Clubs",1965,NA,NA,NA,NA,NA
"Riverside Mall","Found","","","","Baton Rouge","LA","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"The Den Again","Found","","5569 Greenwells Spgs. Rd.","","Baton Rouge","LA","(YC),(D),(*)","Bars/Clubs",1973,NA,NA,NA,NA,NA
"Riverside Mall ","Found","","","","Baton Rouge","LA","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Downtown Bus Terminal","General City Coordinates Used","","","","Baton Rouge","LA","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Old Capitol Building","General City Coordinates Used","","","","Baton Rouge","LA","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Den Again ","Found","(1 block off Wooddale BI. & Tom Dr.)","Wooddale Ct.","","Baton Rouge","LA","(D),(G),(*)","Bars/Clubs",1975,NA,NA,NA,NA,NA
"Parking lot by George's Place","General City Coordinates Used","","","","Baton Rouge","LA","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Riverside Mall","Found","","","","Baton Rouge","LA","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Chez Giselle","General City Coordinates Used","","","","Lafayette","LA","(YC),(D),(G),(*)","Bars/Clubs",1974,NA,NA,NA,NA,NA
"Northgate Mall","Found","","","","Lafayette","LA","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"U.S.L. – Library T-Rooms","Found","","","","Lafayette","LA","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Garrard Park ","Found","","","","Lafayette","LA","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
